Timestamp,Location,Vehicle Count,Avg Speed,Density
2025-04-09 15:09:44.778862,Jaydev Vihar,87,69,148.02
2025-04-09 15:09:44.778862,Rupali Square,11,26,14.78
2025-04-09 15:09:44.778862,CRP Square,116,66,104.93
2025-04-09 15:09:54.796879,Jaydev Vihar,50,75,26.05
2025-04-09 15:09:54.796879,Rupali Square,146,54,143.98
2025-04-09 15:09:54.796879,CRP Square,130,79,256.19
2025-04-09 15:10:04.803665,Jaydev Vihar,41,22,25.8
2025-04-09 15:10:04.806685,Rupali Square,51,52,26.78
2025-04-09 15:10:04.818148,CRP Square,47,68,23.53
2025-04-09 15:10:14.826947,Jaydev Vihar,73,79,42.63
2025-04-09 15:10:14.830356,Rupali Square,30,76,29.39
2025-04-09 15:10:14.834558,CRP Square,143,46,134.87
2025-04-09 15:10:24.837401,Jaydev Vihar,103,40,121.83
2025-04-09 15:10:24.840612,Rupali Square,126,57,66.48
2025-04-09 15:10:24.848595,CRP Square,81,25,64.8
2025-04-09 15:10:34.855976,Jaydev Vihar,67,40,39.24
2025-04-09 15:10:34.855976,Rupali Square,73,53,41.72
2025-04-09 15:10:34.855976,CRP Square,39,61,22.22
2025-04-09 15:10:44.862534,Jaydev Vihar,87,21,50.86
2025-04-09 15:10:44.862534,Rupali Square,132,72,99.65
2025-04-09 15:10:44.862534,CRP Square,27,55,49.94
2025-04-09 15:10:54.868828,Jaydev Vihar,83,80,54.31
2025-04-09 15:10:54.870774,Rupali Square,40,59,36.83
2025-04-09 15:10:54.872618,CRP Square,150,50,109.04
2025-04-09 15:11:04.875167,Jaydev Vihar,105,53,82.92
2025-04-09 15:11:04.875167,Rupali Square,46,31,89.65
2025-04-09 15:11:04.875167,CRP Square,118,76,103.36
2025-04-09 15:11:14.882038,Jaydev Vihar,138,64,146.94
2025-04-09 15:11:14.884123,Rupali Square,32,37,16.43
2025-04-09 15:11:14.885947,CRP Square,32,30,37.37
2025-04-09 15:11:24.888794,Jaydev Vihar,71,77,38.93
2025-04-09 15:11:24.888794,Rupali Square,17,23,29.82
2025-04-09 15:11:24.888794,CRP Square,26,27,14.92
2025-04-09 15:11:34.897464,Jaydev Vihar,38,34,45.5
2025-04-09 15:11:34.899866,Rupali Square,81,70,61.47
2025-04-09 15:11:34.899866,CRP Square,68,78,56.68
2025-04-09 15:11:44.904898,Jaydev Vihar,42,27,39.58
2025-04-09 15:11:44.925291,Rupali Square,70,80,46.24
2025-04-09 15:11:44.927649,CRP Square,72,28,123.94
2025-04-09 15:11:54.930365,Jaydev Vihar,126,47,250.75
2025-04-09 15:11:54.930365,Rupali Square,17,21,16.94
2025-04-09 15:11:54.930365,CRP Square,97,39,59.38
2025-04-09 15:12:04.936619,Jaydev Vihar,55,62,32.05
2025-04-09 15:12:04.940666,Rupali Square,143,56,169.29
2025-04-09 15:12:04.943230,CRP Square,28,53,25.91
2025-04-09 15:12:14.954021,Jaydev Vihar,18,65,20.26
2025-04-09 15:12:14.956278,Rupali Square,48,37,31.03
2025-04-09 15:12:14.956278,CRP Square,42,73,23.3
2025-04-09 15:12:24.960659,Jaydev Vihar,65,28,39.86
2025-04-09 15:12:24.965882,Rupali Square,116,62,77.12
2025-04-09 15:12:24.966880,CRP Square,110,74,80.08
